agent,display,game_code,payoff_kind,realized_p1,realized_p2,mixed_ne_p1,mixed_ne_p2,abs_freq_gap_p1,abs_freq_gap_p2,pref_entropy_p1,pref_entropy_p2,dominance_pref_entropy_p1,dominance_pref_entropy_p2
llama31_instruct,Llama-3.1-70B-Instruct,ShCh,ordinal_rank,0.5,0.5,0.5,0.5,0.0,0.0,0.9562218181794737,0.9804490560220165,,
llama31_instruct,Llama-3.1-70B-Instruct,ShHr,ordinal_rank,0.5,1.0,0.25,0.5,0.25,0.5,0.9036518187391039,0.7585150164421892,,
qwen,Qwen2.5-72B,AsBa,ordinal_rank,0.75,0.5,0.5,0.5,0.25,0.0,0.9984701074428213,0.9973123377052696,,
qwen,Qwen2.5-72B,AsCh,ordinal_rank,0.5,0.75,0.5,0.5,0.0,0.25,0.9992996632540962,0.9938298901861451,,
qwen,Qwen2.5-72B,AsHr,ordinal_rank,0.5,1.0,0.25,0.5,0.25,0.5,0.9999997461793806,0.9760717619566426,,
qwen,Qwen2.5-72B,BaAs,ordinal_rank,0.5,0.25,0.5,0.5,0.0,0.25,0.9973123377052695,0.9984701074428213,,
qwen,Qwen2.5-72B,BaCo,ordinal_rank,0.25,0.25,0.25,0.5,0.0,0.25,0.9915733528028462,0.9832268034276398,,
qwen,Qwen2.5-72B,BaSh,ordinal_rank,0.5,0.5,0.5,0.5,0.0,0.0,0.9984820827121954,0.992126606635235,,
qwen,Qwen2.5-72B,ChAs,ordinal_rank,0.25,0.5,0.5,0.5,0.25,0.0,0.9938298901861451,0.9992996632540962,,
qwen,Qwen2.5-72B,ChCo,ordinal_rank,0.0,0.25,0.25,0.5,0.25,0.25,0.9793972478805109,0.9892222618954266,,
qwen,Qwen2.5-72B,ChSh,ordinal_rank,0.25,0.5,0.5,0.5,0.25,0.0,0.9860087062627954,0.9999998603543776,,
qwen,Qwen2.5-72B,CoBa,ordinal_rank,0.75,0.75,0.5,0.75,0.25,0.0,0.9832268034276398,0.9915733528028462,,
qwen,Qwen2.5-72B,CoCh,ordinal_rank,0.75,1.0,0.5,0.75,0.25,0.25,0.9892222618954266,0.9793972478805109,,
qwen,Qwen2.5-72B,CoHr,ordinal_rank,0.75,0.75,0.25,0.75,0.5,0.0,0.989132122168616,0.9675973513850681,,
qwen,Qwen2.5-72B,HrAs,ordinal_rank,0.0,0.5,0.5,0.75,0.5,0.25,0.9760717619566426,0.9999997461793806,,
qwen,Qwen2.5-72B,HrCo,ordinal_rank,0.25,0.25,0.25,0.75,0.0,0.5,0.9675973513850681,0.989132122168616,,
qwen,Qwen2.5-72B,HrSh,ordinal_rank,0.25,0.5,0.5,0.75,0.25,0.25,0.9916129519011712,0.9874842379762822,,
qwen,Qwen2.5-72B,ShBa,ordinal_rank,0.5,0.5,0.5,0.5,0.0,0.0,0.992126606635235,0.9984820827121955,,
qwen,Qwen2.5-72B,ShCh,ordinal_rank,0.5,0.75,0.5,0.5,0.0,0.25,0.9999998603543776,0.9860087062627954,,
qwen,Qwen2.5-72B,ShHr,ordinal_rank,0.5,0.75,0.25,0.5,0.25,0.25,0.9874842379762822,0.9916129519011712,,
qwen_instruct,Qwen2.5-72B-Instruct,AsBa,ordinal_rank,0.5,0.5,0.5,0.5,0.0,0.0,0.9976433505823132,0.9617553198885831,,
qwen_instruct,Qwen2.5-72B-Instruct,AsCh,ordinal_rank,0.5,0.75,0.5,0.5,0.0,0.25,0.994634549693656,0.8268874714886731,,
qwen_instruct,Qwen2.5-72B-Instruct,AsHr,ordinal_rank,0.5,1.0,0.25,0.5,0.25,0.5,0.9843369404513409,0.6434470165091442,,
qwen_instruct,Qwen2.5-72B-Instruct,BaAs,ordinal_rank,0.5,0.5,0.5,0.5,0.0,0.0,0.9617553198885833,0.9976433505823132,,
qwen_instruct,Qwen2.5-72B-Instruct,BaCo,ordinal_rank,0.25,0.25,0.25,0.5,0.0,0.25,0.8553108238999675,0.8159603252133232,,
qwen_instruct,Qwen2.5-72B-Instruct,BaSh,ordinal_rank,0.5,0.5,0.5,0.5,0.0,0.0,0.9967321538445095,0.9339946904365184,,
qwen_instruct,Qwen2.5-72B-Instruct,ChAs,ordinal_rank,0.25,0.5,0.5,0.5,0.25,0.0,0.8268874714886731,0.994634549693656,,
qwen_instruct,Qwen2.5-72B-Instruct,ChCo,ordinal_rank,0.25,0.25,0.25,0.5,0.0,0.25,0.6994481409602304,0.6774695045503405,,
qwen_instruct,Qwen2.5-72B-Instruct,ChSh,ordinal_rank,0.25,0.5,0.5,0.5,0.25,0.0,0.6926351635522776,0.9868794889536863,,
qwen_instruct,Qwen2.5-72B-Instruct,CoBa,ordinal_rank,0.75,0.75,0.5,0.75,0.25,0.0,0.8159603252133232,0.8553108238999676,,
qwen_instruct,Qwen2.5-72B-Instruct,CoCh,ordinal_rank,0.75,0.75,0.5,0.75,0.25,0.0,0.6774695045503405,0.6994481409602304,,
qwen_instruct,Qwen2.5-72B-Instruct,CoHr,ordinal_rank,0.75,0.75,0.25,0.75,0.5,0.0,0.7773581292710906,0.8253459803297388,,
qwen_instruct,Qwen2.5-72B-Instruct,HrAs,ordinal_rank,0.0,0.5,0.5,0.75,0.5,0.25,0.6434470165091442,0.9843369404513409,,
qwen_instruct,Qwen2.5-72B-Instruct,HrCo,ordinal_rank,0.25,0.25,0.25,0.75,0.0,0.5,0.8253459803297388,0.7773581292710906,,
qwen_instruct,Qwen2.5-72B-Instruct,HrSh,ordinal_rank,0.5,0.75,0.5,0.75,0.0,0.0,0.9707776303836255,0.8759165394117807,,
qwen_instruct,Qwen2.5-72B-Instruct,ShBa,ordinal_rank,0.5,0.5,0.5,0.5,0.0,0.0,0.9339946904365184,0.9967321538445095,,
qwen_instruct,Qwen2.5-72B-Instruct,ShCh,ordinal_rank,0.5,0.75,0.5,0.5,0.0,0.25,0.9868794889536863,0.6926351635522776,,
qwen_instruct,Qwen2.5-72B-Instruct,ShHr,ordinal_rank,0.25,0.5,0.25,0.5,0.0,0.0,0.8759165394117805,0.9707776303836255,,
nagel,Moore et al. (human),AsBa,ordinal,0.356984479,0.26607538799999997,0.5,0.5,0.14301552099999998,0.23392461200000003,,,,
nagel,Moore et al. (human),AsCh,ordinal,0.390243902,0.24168514399999996,0.5,0.5,0.10975609800000002,0.25831485600000004,,,,
nagel,Moore et al. (human),AsHr,ordinal,0.257206208,0.7827051,0.25,0.5,0.007206207999999992,0.28270510000000004,,,,
nagel,Moore et al. (human),BaAs,ordinal,0.733924612,0.6430155209999999,0.5,0.5,0.23392461200000003,0.14301552099999992,,,,
nagel,Moore et al. (human),BaCo,ordinal,0.66075388,0.14634146299999995,0.25,0.5,0.41075388,0.35365853700000005,,,,
nagel,Moore et al. (human),BaSh,ordinal,0.767184035,0.7206208430000001,0.5,0.5,0.267184035,0.22062084300000007,,,,
nagel,Moore et al. (human),ChAs,ordinal,0.758314856,0.6097560980000001,0.5,0.5,0.25831485600000004,0.10975609800000008,,,,
nagel,Moore et al. (human),ChCo,ordinal,0.705099778,0.17516629699999997,0.25,0.5,0.455099778,0.32483370300000003,,,,
nagel,Moore et al. (human),ChSh,ordinal,0.758314856,0.592017738,0.5,0.5,0.25831485600000004,0.09201773800000002,,,,
nagel,Moore et al. (human),CoBa,ordinal,0.853658537,0.33924612,0.5,0.75,0.35365853700000005,0.41075388,,,,
nagel,Moore et al. (human),CoCh,ordinal,0.824833703,0.294900222,0.5,0.75,0.32483370300000003,0.455099778,,,,
nagel,Moore et al. (human),CoHr,ordinal,0.753880266,0.858093126,0.25,0.75,0.503880266,0.10809312599999998,,,,
nagel,Moore et al. (human),HrAs,ordinal,0.2172948999999999,0.7427937920000001,0.5,0.75,0.2827051000000001,0.007206207999999936,,,,
nagel,Moore et al. (human),HrCo,ordinal,0.141906874,0.24611973399999998,0.25,0.75,0.10809312600000001,0.503880266,,,,
nagel,Moore et al. (human),HrSh,ordinal,0.294900222,0.798226164,0.5,0.75,0.205099778,0.048226164000000016,,,,
nagel,Moore et al. (human),ShBa,ordinal,0.279379157,0.232815965,0.5,0.5,0.220620843,0.267184035,,,,
nagel,Moore et al. (human),ShCh,ordinal,0.407982262,0.24168514399999996,0.5,0.5,0.09201773800000002,0.25831485600000004,,,,
nagel,Moore et al. (human),ShHr,ordinal,0.201773836,0.705099778,0.25,0.5,0.04822616399999999,0.205099778,,,,
qwen,Qwen2.5-72B,__SUMMARY__,ordinal_rank,,,,,0.18055555555555555,0.18055555555555555,0.9900470606736955,0.9900470606736955,0.9536483893650449,0.9536483893650446
qwen_instruct,Qwen2.5-72B-Instruct,__SUMMARY__,ordinal_rank,,,,,0.125,0.125,0.8620296233011556,0.8620296233011556,0.4905493803616561,0.4905493803616562
llama31_instruct,Llama-3.1-70B-Instruct,__SUMMARY__,ordinal_rank,,,,,0.2777777777777778,0.2777777777777778,0.917457794568042,0.917457794568042,0.807908909953732,0.8079089099537319
gptoss,GPT-OSS-120B,__SUMMARY__,ordinal_rank,,,,,0.2777777777777778,0.3333333333333333,0.550428691325609,0.5850151495985092,0.11654909738212121,0.13332019112723922
nagel,Moore et al. (human),__SUMMARY__,ordinal,,,,,0.23792806105555553,0.23792806105555556,,,,
griffiths,Zhu et al. (human),__SUMMARY__,,,,,,,,,,,
